,precision,recall,f1-score,support
0,0.9993611811051567,0.9903981429375351,0.9948594746418414,56864.0
1,0.10197368421052631,0.6326530612244898,0.17563739376770537,98.0
accuracy,0.9897826621256276,0.9897826621256276,0.9897826621256276,0.9897826621256276
macro avg,0.5506674326578415,0.8115256020810124,0.5852484342047735,56962.0
weighted avg,0.99781727508543,0.9897826621256276,0.9934500479376234,56962.0
